Regex;Lines;Visited;Cache Size(Found);Max CS;Avg CS;Status
((http://|https://|//)[-a-zA-Z0-9@:%_\+.~\#?&=]{2,256}\.[a-z]{2,4}[^\"\n\r']*)';;;;;;TIMEOUT while finding cycles.
(.)(.{11})(.{52});1;65;65;52;0,001444;Text generated.
(.{0,255})$;1;1;1;0;0;Text generated.
(.{1,134});1;2;2;1;1E-06;Text generated.
(.{1,60});1;2;2;1;1E-06;Text generated.
(.{1,60})([ \n\t\r\f]|$);1;2;2;1;1E-06;Text generated.
(.{1,60}|[^ \n\t\r\f]+)(?:[ \n\t\r\f]+|$);2;2;3;1;2E-06;Text generated.
(.{1,64});1;2;2;1;1E-06;Text generated.
(.{1,66});1;2;2;1;1E-06;Text generated.
(.{1,66})(?:[ \n\t\r\f]+|$);1;2;2;1;1E-06;Text generated.
(.{1,69})[ \n];2;3;4;2;5E-06;Text generated.
(.{1,70});1;2;2;1;1E-06;Text generated.
(.{1,72})([ \n\t\r\f]);2;3;4;2;5E-06;Text generated.
(.{1,72})([ \n\t\r\f]+|\Z);1;2;2;1;1E-06;Text generated.
(.{1,74});1;2;2;1;1E-06;Text generated.
(.{1,76});1;2;2;1;1E-06;Text generated.
(.{1,76})( +|$);1;2;2;1;1E-06;Text generated.
(.{1,76}[^0-9a-zA-Z_]);2;3;4;2;5E-06;Text generated.
(.{1,78}) (\|\| |$) ?;2;83;159;78;0,006395;Text generated.
(.{1,78})(,|$) ?;2;3;4;2;5E-06;Text generated.
(.{1,78})(?: +|$)\n?|(.{78});2;79;156;78;0,006161;Text generated.
(.{1,78}[^ \n\t\r\f])(?:[ \n\t\r\f]|$);2;3;4;2;5E-06;Text generated.
(.{1,80})([ \n\t\r\f]+|$);1;2;2;1;1E-06;Text generated.
(.{100});1;101;101;100;0,00505;Text generated.
(.{100}).+;1;102;102;100;0,00515;Text generated.
(.{100}.*),.*;2;102;103;100;0,00525;Text generated.
(.{1000,}[^>]*>)<;1;1004;1004;1000;0,5035;Text generated.
(.{140});1;141;141;140;0,00987;Text generated.
(.{2,60})\|.{0,200};2;4;5;3;9E-06;Text generated.
(.{240}[^\]);;;;;;Error while converting to DCA: analýza (.{240}[^\]) - Chybí pravá hranatá závorka (]).
