Regex;Lines;Visited;Cache Size(Found);Counters;Max CS;Status
(AB?C?D{4}E{99}F{99}G{99}H{9}I{99}J{99});2;512;512;7;1;Text generated.
(AB?C?D{999}E?F{999}G{999});1;0;2307;3;1;TIMEOUT.
(AB?CD?E?F?G?H?I?J?K?L?M?N?O?P?Q?R?S*T?U?V{10}W?X{10}Y?);;;;;;TIMEOUT while finding cycles.
(AB?CD?E?F?G?H?I?J?K?LM*N?O?P?Q?R?S?T?U?V?W?X?Y?Za?bc?de?fg?h?i*j*k?l{10}m{10}n?);;;;;;Error while finding cycles: Odkaz na objekt není nastaven na instanci objektu.
(AB?CD?E?F?G?H?I?J?K?LM?N?O?P?Q?R?S?T?U?V?W?X?Y?Za?bc?de?fg?h?i?j?k?l{10}m{10}n?);;;;;;TIMEOUT while finding cycles.
(AB?CD?E?F?GH*I?J?KL?MN?O?P?Q?R?S?T?U?V?W?X?YZab?c?d?e{10}f{10}g?);;;;;;TIMEOUT while finding cycles.
(AB?CD?E?FGH?IJ?K?L?M{5}N?O?P?Q?R?S?T{20}U?V?W?X?Y?Z?a?b?cd?e?f?g?h?i?j?k?l?);;;;;;TIMEOUT while finding cycles.
(AB?CD?E?F{10}G?H?I?J?K?L?M?N?O{2}P?Q?R?S?T{2}U?V?W{10}X{10}Y?Z?a{3}b{3}c{2}d?e?f{2}g?h{2}i{2}j{2}k{2}l{2}m{2}n{4}o?p{6}q?r?s?t?u{10}v{999});;;;;;Error while finding cycles: Odkaz na objekt není nastaven na instanci objektu.
(AB?CD?E?F{10}G?H?I?J?K?L?M?N?O{2}P?Q?R?S?T{2}U?V?W{10}X{10}Y?Z?a{3}b{3}c{2}d?e?f{2}g?h{2}i{2}j{2}k{2}l{2}m{2}n{4}o?p{6}q?r?s?t?u{10}v{999});;;;;;TIMEOUT while converting to DCA.
(AB?CDE{15});1;20;20;1;1;Text generated.
(AB?C{10}D{9999});1;0;1144;2;1;TIMEOUT.
(AB?C{20});;;;;;Error while finding cycles: Odkaz na objekt není nastaven na instanci objektu.
(AB?C{2}D{99}E?F?G{99}H{20});2;225;225;4;1;Text generated.
(AB?C{3}D{9}E{999}F{9});1;0;787;4;1;TIMEOUT.
(AB?C{5}D{10});1;18;18;2;1;Text generated.
(AB?C{5}D{2}E?F?G?H?I?JK?L?M?N?O?P?Q?R?S?T?U?V?W?X?Y?Z?a?b?c?d{10}e?f?g?h?i?j?k{3}l{5}m{5}n{5}o{5}p{5}q{5}r{5}s{5}t{5}u{5}v{5}w{5}x{5}y{5}z{5});;;;;;TIMEOUT while finding cycles.
(AB?C{5}D{2}E?F?G?H?IJ?K?L?M?N?O?P?Q?R?S?T?U?V?W?X?Y?Z?a?b{10}c{10}d{10}e{10}f{10}g?h?i?j?k?l?m{3}n{5}o{5}p{5}q{5}r{5}s{5}t{5}u{5}v{5}w{5}x{5}y{5}z{5});;;;;;Error while finding cycles: Dimenze pole překročily podporovaný rozsah.
(AB?C{5}D{2}E?F?G?H?IJ?K?L?M?N?O?P?Q?R?S?T?U?V?W?X?Y?Z?a?b{10}c{10}d{10}e{10}f{10}g?h?i?j?k?l?m{3}n{5}o{5}p{5}q{5}r{5}s{5}t{5}u{5}v{5}w{5}x{5}y{5}z{5});;;;;;TIMEOUT while converting to DCA.
(AB?C{5}D{99}E{99}F{99});;;;;;TIMEOUT while converting to DCA.
(AB?C{999});;;;;;TIMEOUT.
(AB?C{99});;;;;;TIMEOUT.
(AB?C{99}D?E{5});1;0;2;2;1;TIMEOUT.
(ABC?D?E?F?G?H?I?J?K?L{10}M?N*O?P?Q?R?S?T?U*V{10});1;108;108;2;1;Text generated.
(ABC?D?E?F?G?H?I?J?K?L{10}M?N*O?P?Q?R?S?T?U*V{10});1;108;108;2;1;Text generated.
(ABC?D?E?F?G?H?I?J?K?L{10}M?N*O?P?Q?R?S?T?U*V{10});;;;;;Error while finding cycles: Odkaz na objekt není nastaven na instanci objektu.
(ABC?D?E?F?G?H?I?J?K?L{10}M?N?O?P?Q?R?S?T*);3;22;22;1;1;Text generated.
(ABC?D?E?FFFG{30}H?I*);1;39;39;1;1;Text generated.
(ABC?D?EF?G{120}H?I{99}J?K{96}L{5}M?);1;329;329;4;1;Text generated.
(ABC?DE*F*GH{2000}I*);2;2007;2007;1;1;Text generated.
(ABC?DEFG{100});1;107;107;1;1;Text generated.
(ABC?DEF{9999}G?);1;0;3410;1;1;TIMEOUT.
(ABC?DE{200}F{5});2;210;210;2;1;Text generated.
(ABC?D{128});1;132;132;1;1;Text generated.
(ABC?D{200});1;204;204;1;1;Text generated.
(ABC?D{32});1;36;36;1;1;Text generated.
(ABCD*E*F{128}G?H*);2;133;133;1;1;Text generated.
(ABCD?E?){99};1;5;5;2;1;Text generated.
(ABCD?EF?G{100}H*);1;107;107;1;1;Text generated.
(ABCD?EF{9999}G?H{99}I?);1;0;3226;2;1;TIMEOUT.
(ABCDE?F?G?H?I?J?K?L?M?N{9}O?P?Q?R{99}S?T?U?V?);5;125;125;2;1;Text generated.
(ABCDE?F?GHI?J?KL?M?N?O?P?Q?R?S?TU?V+W?X?Y?Za?b{999});1;1027;1027;1;1;Text generated.
(ABCDE?F?GH{50}I?J?K{3}L{50}M{50}N{50}O{50}PQ?R?E?F?S?);;;;;;TIMEOUT while converting to DCA.
(ABCDE?F{100}G?H?I?J{100}K{100}L?M?N?O?P?);;;;;;TIMEOUT.
(ABCDE?F{363}G{99});;;;;;TIMEOUT.
(ABCDEF?G?H?I?J?K{32}L?M?);;;;;;TIMEOUT.
(ABCDEF?G?H?I?J{100}K{100}L?M?N?O?P?);;;;;;TIMEOUT.
(ABCDEFGH*I?J?K*LMN{10}O?P?);;;;;;TIMEOUT.
(ABCDEF{50}G?H?I{3}J{50}K{50}L{50}M{50}NO?P?Q?R?S?);;;;;;TIMEOUT while converting to DCA.
(ABCDE{2000}F);;;;;;TIMEOUT.
(ABCD{17}EFGHI);;;;;;TIMEOUT.
(ABCD{99}E?);;;;;;TIMEOUT.
(ABCD{99}E?F?G{99});;;;;;TIMEOUT.
(ABCD{100});;;;;;TIMEOUT.
(ABC{1000});;;;;;TIMEOUT.
(ABC{100}DE?F?G?H?I?J?);;;;;;TIMEOUT.
(ABC{100}DEF?G?H?I?J?K?);;;;;;TIMEOUT.
(ABC{10});;;;;;TIMEOUT.
(ABC{10}D{10});;;;;;TIMEOUT.
(ABC{11}D?E*F?G*HI?J?K?L?M?N?O?);;;;;;TIMEOUT.
(ABC{15}D?E?F{});;;;;;TIMEOUT.
(ABC{200});;;;;;TIMEOUT.
(ABC{2}D?E{48}F?G?H?I?J?K?L?M?N{20}O{198});;;;;;TIMEOUT while converting to DCA.
