Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
pattern;ERROR WHILE CONVERTING TO DCA.
^.{24}.{2,17}\x4e\x41\x4d\x45\x4e\x41\x4d\x45;2;50;65;2;24;41;1;5,7E-05;44;145;16684;Text generated.
^.{2,92}\x38\x39\x3a\x3b\x3c\x3d\x3e\x3f;2;101;191;1;92;92;1;0,000183;31;103;16741;Text generated.
^.{2,24}ISSPNGRQ;2;33;55;1;24;24;1;4,7E-05;31;103;16779;Text generated.
^.{2,24}\x49\x53\x53\x50\x4e\x47\x52\x51;2;33;55;1;24;24;1;4,7E-05;31;103;16830;Text generated.
^([nN][aA][mM][eE]|[iI][dD]|[nN][uU][mM][bB][eE][rR]|[tT][oO][tT][aA][lL]|[bB][oO][uU][nN][dD][aA][rR][yY])=[\x20\x09\x0b]*[^\r\n\x3b\s\x2c]{300};2;310;313;1;300;300;1;0,0003;25;33;16860;Text generated.
\r\nAccept-Language\x3A[^\n]{100};2;119;219;1;100;100;1;0,000201;20;62;16924;Text generated.
\r\nAuthorization\x3a(\s*|\s*\r?\n\s+)Basic\s[^\n]{250};2;277;528;1;250;250;1;0,000502;56;198;16979;Text generated.
\r\nAuthorization\x3a\s*Basic[^\n]{256};2;280;536;1;256;256;1;0,000513;50;170;17043;Text generated.
\r\nCONNECT\s[^\s]{1024};1;1001;1002;1;1024;1024;1;0,000992;12;36;17082;Text generated.
\r\nDESCRIBE\s[^\n]{300};2;312;613;1;300;300;1;0,000602;13;41;17222;Text generated.
\r\nHost\x3A\s[^\r\n]{300,};2;309;310;1;300;300;1;0,000302;22;77;17304;Text generated.
\r\nUser-Agent\x3a[^\n]{216};2;230;446;1;216;216;1;0,000433;15;47;17344;Text generated.
\r\nUser-Agent\x3a[^\n]{244,255};2;258;502;1;255;255;1;0,000489;30;100;17386;Text generated.
\x2fWebID\x2fIISWebAgentIF.dll[^\n\x26\x3f]*\x3fRedirect\x3furl=[^\n\x26\x3f]{1024};1;1001;1964;1;1024;1024;1;0,001923;228;1390;17526;Text generated.
^[^\x3e\x3f\x26]{50};1;51;51;1;50;50;1;5,1E-05;2;3;17861;Text generated.
^GET\s+\w[^\x0a\x20]{165};1;171;171;1;165;165;1;0,000166;8;12;18071;Text generated.
cache_lastpostdate\[[^\]]+\]=[^\x00\x3B\x3D]{30};2;53;84;1;30;30;1;6,1E-05;164;878;18142;Text generated.
pwd=(\!|\%21)CRYPT(\!|\%21)[A-Z0-9]{512};2;526;527;1;512;512;1;0,000513;32;101;18227;Text generated.
