Regex;Lines;Visited;Cache Size(Found);Status
[a-f0-9]{64}$;1;65;65;Text generated.
[A-F0-9]{60};1;61;61;Text generated.
[a-f0-9]{60,}$;1;61;61;Text generated.
[a-f0-9]{32,64};1;33;33;Text generated.
[a-f0-9]{16,128};1;17;17;Text generated.
[1-9a-km-zA-LMNP-Z]{51,111};1;52;52;Text generated.
[1-9]{1}[0-9]{63};87;5030;9888;Text generated.
[0-9a-zA-Z_]{5,255};1;6;6;Text generated.
[0-9a-zA-Z]{50};1;51;51;Text generated.
[0-9a-fA-F]{64};1;65;65;Text generated.
[0-9A-Fa-f]{32}|[0-9A-Fa-f\-]{36};38;694;694;Text generated.
[0-9a-f]{64};1;65;65;Text generated.
[0-9a-f]{144};1;145;145;Text generated.
[0-9a-f]{128};1;129;129;Text generated.
[0-9^0-9]{100};1;101;101;Text generated.
[0-9]{64};1;65;65;Text generated.
[01]{70};1;71;71;Text generated.
[^\n]{990};1;991;991;Text generated.
[^ \n\t\r\f]{50};1;51;51;Text generated.
[^ \n\t\r\f]{190}.rt;2;197;197;Text generated.
[^ \n\t\r\f]{100,};1;101;101;Text generated.
[ =]{25}={50}[ =]{25};26;126;126;Text generated.
[ \n\t\r\f^ \n\t\r\f]{100};1;101;101;Text generated.
[ \n\t\r\f]{255,};1;256;256;Text generated.
[ \n\t\r\f]{230,}\.htr;1;236;236;Text generated.
[ \n\t\r\f]{230,}.htr;2;237;237;Text generated.
[ \n\t\r\f]*(.{10,70})(?:[ \n\t\r\f]+|$);2;21;21;Text generated.
